Id;Type;Name;Schema;ParentId;ParentType;Title;Description;CustomField1;CustomField2;CustomField3
1238;COLUMN;rowguid;;2;TABLE;;ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.;;;
1237;COLUMN;SpatialLocation;;2;TABLE;;Latitude and longitude of this address.;;;
1235;COLUMN;StateProvinceID;;2;TABLE;;Unique identification number for the state or province. Foreign key to StateProvince table.;;;
1240;COLUMN;AddressTypeID;;2;TABLE;;Primary key for AddressType records.;;;
1243;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1241;COLUMN;Name;;2;TABLE;;Address type description. For example, Billing, Home, or Shipping.;;;
1242;COLUMN;rowguid;;2;TABLE;;ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.;;;
1244;COLUMN;BusinessEntityID;;2;TABLE;;Primary key for all customers, vendors, and employees.;;;
1246;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1245;COLUMN;rowguid;;2;TABLE;;ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.;;;
1248;COLUMN;AddressID;;2;TABLE;;Primary key. Foreign key to Address.AddressID.;;;
1249;COLUMN;AddressTypeID;;2;TABLE;;Primary key. Foreign key to AddressType.AddressTypeID.;;;
1247;COLUMN;BusinessEntityID;;2;TABLE;;Primary key. Foreign key to BusinessEntity.BusinessEntityID.;;;
1251;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1250;COLUMN;rowguid;;2;TABLE;;ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.;;;
1252;COLUMN;BusinessEntityID;;2;TABLE;;Primary key. Foreign key to BusinessEntity.BusinessEntityID.;;;
1254;COLUMN;ContactTypeID;;2;TABLE;;Primary key.  Foreign key to ContactType.ContactTypeID.;;;
1256;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1253;COLUMN;PersonID;;2;TABLE;;Primary key. Foreign key to Person.BusinessEntityID.;;;
1255;COLUMN;rowguid;;2;TABLE;;ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.;;;
1257;COLUMN;ContactTypeID;;2;TABLE;;Primary key for ContactType records.;;;
1259;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1258;COLUMN;Name;;2;TABLE;;Contact type description.;;;
1260;COLUMN;CountryRegionCode;;2;TABLE;;ISO standard code for countries and regions.;;;
1262;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1261;COLUMN;Name;;2;TABLE;;Country or region name.;;;
1263;COLUMN;BusinessEntityID;;2;TABLE;;Primary key. Person associated with this email address.  Foreign key to Person.BusinessEntityID;;;
1265;COLUMN;EmailAddress;;2;TABLE;;E-mail address for the person.;;;
1264;COLUMN;EmailAddressID;;2;TABLE;;Primary key. ID of this email address.;;;
1267;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1266;COLUMN;rowguid;;2;TABLE;;ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.;;;
1272;COLUMN;BusinessEntityID;;2;TABLE;;Person identification number. Foreign key to Person.BusinessEntityID.;;;
1271;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1268;COLUMN;PasswordHash;;2;TABLE;;Password for the e-mail account.;;;
1269;COLUMN;PasswordSalt;;2;TABLE;;Random value concatenated with the password string before the password is hashed.;;;
1270;COLUMN;rowguid;;2;TABLE;;ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.;;;
1282;COLUMN;AdditionalContactInfo;;2;TABLE;;Additional contact information about the person stored in xml format. ;;;
1273;COLUMN;BusinessEntityID;;2;TABLE;;Primary key for Person records.;;;
1283;COLUMN;Demographics;;2;TABLE;;Personal information such as hobbies, and income collected from online shoppers. Used for sales analysis.;;;
1281;COLUMN;EmailPromotion;;2;TABLE;;0 = Contact does not wish to receive e-mail promotions, 1 = Contact does wish to receive e-mail promotions from AdventureWorks, 2 = Contact does wish to receive e-mail promotions from AdventureWorks and selected partners. ;;;
1277;COLUMN;FirstName;;2;TABLE;;First name of the person.;;;
1279;COLUMN;LastName;;2;TABLE;;Last name of the person.;;;
1278;COLUMN;MiddleName;;2;TABLE;;Middle name or middle initial of the person.;;;
1285;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1275;COLUMN;NameStyle;;2;TABLE;;0 = The data in FirstName and LastName are stored in western style (first name, last name) order.  1 = Eastern style (last name, first name) order.;;;
1274;COLUMN;PersonType;;2;TABLE;;Primary type of person: SC = Store Contact, IN = Individual (retail) customer, SP = Sales person, EM = Employee (non-sales), VC = Vendor contact, GC = General contact;;;
1284;COLUMN;rowguid;;2;TABLE;;ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.;;;
1280;COLUMN;Suffix;;2;TABLE;;Surname suffix. For example, Sr. or Jr.;;;
1276;COLUMN;Title;;2;TABLE;;A courtesy title. For example, Mr. or Ms.;;;
1286;COLUMN;BusinessEntityID;;2;TABLE;;Business entity identification number. Foreign key to Person.BusinessEntityID.;;;
1289;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1287;COLUMN;PhoneNumber;;2;TABLE;;Telephone number identification number.;;;
1288;COLUMN;PhoneNumberTypeID;;2;TABLE;;Kind of phone number. Foreign key to PhoneNumberType.PhoneNumberTypeID.;;;
1292;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1291;COLUMN;Name;;2;TABLE;;Name of the telephone number type;;;
1290;COLUMN;PhoneNumberTypeID;;2;TABLE;;Primary key for telephone number type records.;;;
1295;COLUMN;CountryRegionCode;;2;TABLE;;ISO standard country or region code. Foreign key to CountryRegion.CountryRegionCode. ;;;
1296;COLUMN;IsOnlyStateProvinceFlag;;2;TABLE;;0 = StateProvinceCode exists. 1 = StateProvinceCode unavailable, using CountryRegionCode.;;;
1300;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1297;COLUMN;Name;;2;TABLE;;State or province description.;;;
1299;COLUMN;rowguid;;2;TABLE;;ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.;;;
1294;COLUMN;StateProvinceCode;;2;TABLE;;ISO standard state or province code.;;;
1293;COLUMN;StateProvinceID;;2;TABLE;;Primary key for StateProvince records.;;;
1298;COLUMN;TerritoryID;;2;TABLE;;ID of the territory in which the state or province is located. Foreign key to SalesTerritory.SalesTerritoryID.;;;
1301;COLUMN;BillOfMaterialsID;;2;TABLE;;Primary key for BillOfMaterials records.;;;
1307;COLUMN;BOMLevel;;2;TABLE;;Indicates the depth the component is from its parent (AssemblyID).;;;
1303;COLUMN;ComponentID;;2;TABLE;;Component identification number. Foreign key to Product.ProductID.;;;
1305;COLUMN;EndDate;;2;TABLE;;Date the component stopped being used in the assembly item.;;;
1309;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1308;COLUMN;PerAssemblyQty;;2;TABLE;;Quantity of the component needed to create the assembly.;;;
1302;COLUMN;ProductAssemblyID;;2;TABLE;;Parent product identification number. Foreign key to Product.ProductID.;;;
1304;COLUMN;StartDate;;2;TABLE;;Date the component started being used in the assembly item.;;;
1306;COLUMN;UnitMeasureCode;;2;TABLE;;Standard code identifying the unit of measure for the quantity.;;;
1310;COLUMN;CultureID;;2;TABLE;;Primary key for Culture records.;;;
1312;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1311;COLUMN;Name;;2;TABLE;;Culture description.;;;
1321;COLUMN;ChangeNumber;;2;TABLE;;Engineering change approval number.;;;
1324;COLUMN;Document;;2;TABLE;;Complete document.;;;
1314;COLUMN;DocumentLevel;;2;TABLE;;Depth in the document hierarchy.;;;
1313;COLUMN;DocumentNode;;2;TABLE;;Primary key for Document records.;;;
1323;COLUMN;DocumentSummary;;2;TABLE;;Document abstract.;;;
1319;COLUMN;FileExtension;;2;TABLE;;File extension indicating the document type. For example, .doc or .txt.;;;
1318;COLUMN;FileName;;2;TABLE;;File name of the document;;;
1317;COLUMN;FolderFlag;;2;TABLE;;0 = This is a folder, 1 = This is a document.;;;
1326;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1316;COLUMN;Owner;;2;TABLE;;Employee who controls the document.  Foreign key to Employee.BusinessEntityID;;;
1320;COLUMN;Revision;;2;TABLE;;Revision number of the document. ;;;
1325;COLUMN;rowguid;;2;TABLE;;ROWGUIDCOL number uniquely identifying the record. Required for FileStream.;;;
1322;COLUMN;Status;;2;TABLE;;1 = Pending approval, 2 = Approved, 3 = Obsolete;;;
1315;COLUMN;Title;;2;TABLE;;Title of the document.;;;
1328;COLUMN;Diagram;;2;TABLE;;Illustrations used in manufacturing instructions. Stored as XML.;;;
1327;COLUMN;IllustrationID;;2;TABLE;;Primary key for Illustration records.;;;
1329;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1333;COLUMN;Availability;;2;TABLE;;Work capacity (in hours) of the manufacturing location.;;;
1332;COLUMN;CostRate;;2;TABLE;;Standard hourly cost of the manufacturing location.;;;
1330;COLUMN;LocationID;;2;TABLE;;Primary key for Location records.;;;
1334;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1331;COLUMN;Name;;2;TABLE;;Location description.;;;
1351;COLUMN;Class;;2;TABLE;;H = High, M = Medium, L = Low;;;
1340;COLUMN;Color;;2;TABLE;;Product color.;;;
1349;COLUMN;DaysToManufacture;;2;TABLE;;Number of days required to manufacture the product.;;;
1357;COLUMN;DiscontinuedDate;;2;TABLE;;Date the product was discontinued.;;;
1339;COLUMN;FinishedGoodsFlag;;2;TABLE;;0 = Product is not a salable item. 1 = Product is salable.;;;
1344;COLUMN;ListPrice;;2;TABLE;;Selling price.;;;
1338;COLUMN;MakeFlag;;2;TABLE;;0 = Product is purchased, 1 = Product is manufactured in-house.;;;
1359;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1336;COLUMN;Name;;2;TABLE;;Name of the product.;;;
1335;COLUMN;ProductID;;2;TABLE;;Primary key for Product records.;;;
1350;COLUMN;ProductLine;;2;TABLE;;R = Road, M = Mountain, T = Touring, S = Standard;;;
1354;COLUMN;ProductModelID;;2;TABLE;;Product is a member of this product model. Foreign key to ProductModel.ProductModelID.;;;
1337;COLUMN;ProductNumber;;2;TABLE;;Unique product identification number.;;;
1353;COLUMN;ProductSubcategoryID;;2;TABLE;;Product is a member of this product subcategory. Foreign key to ProductSubCategory.ProductSubCategoryID. ;;;
1342;COLUMN;ReorderPoint;;2;TABLE;;Inventory level that triggers a purchase order or work order. ;;;
1358;COLUMN;rowguid;;2;TABLE;;ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.;;;
1341;COLUMN;SafetyStockLevel;;2;TABLE;;Minimum inventory quantity. ;;;
1356;COLUMN;SellEndDate;;2;TABLE;;Date the product was no longer available for sale.;;;
1355;COLUMN;SellStartDate;;2;TABLE;;Date the product was available for sale.;;;
1345;COLUMN;Size;;2;TABLE;;Product size.;;;
1346;COLUMN;SizeUnitMeasureCode;;2;TABLE;;Unit of measure for Size column.;;;
1343;COLUMN;StandardCost;;2;TABLE;;Standard cost of the product.;;;
1352;COLUMN;Style;;2;TABLE;;W = Womens, M = Mens, U = Universal;;;
1348;COLUMN;Weight;;2;TABLE;;Product weight.;;;
1347;COLUMN;WeightUnitMeasureCode;;2;TABLE;;Unit of measure for Weight column.;;;
1363;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1361;COLUMN;Name;;2;TABLE;;Category description.;;;
1360;COLUMN;ProductCategoryID;;2;TABLE;;Primary key for ProductCategory records.;;;
1362;COLUMN;rowguid;;2;TABLE;;ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.;;;
1366;COLUMN;EndDate;;2;TABLE;;Product cost end date.;;;
1368;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1364;COLUMN;ProductID;;2;TABLE;;Product identification number. Foreign key to Product.ProductID;;;
1367;COLUMN;StandardCost;;2;TABLE;;Standard cost of the product.;;;
1365;COLUMN;StartDate;;2;TABLE;;Product cost start date.;;;
1370;COLUMN;Description;;2;TABLE;;Description of the product.;;;
1372;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1369;COLUMN;ProductDescriptionID;;2;TABLE;;Primary key for ProductDescription records.;;;
1371;COLUMN;rowguid;;2;TABLE;;ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.;;;
1374;COLUMN;DocumentNode;;2;TABLE;;Document identification number. Foreign key to Document.DocumentNode.;;;
1375;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1373;COLUMN;ProductID;;2;TABLE;;Product identification number. Foreign key to Product.ProductID.;;;
1379;COLUMN;Bin;;2;TABLE;;Storage container on a shelf in an inventory location.;;;
1377;COLUMN;LocationID;;2;TABLE;;Inventory location identification number. Foreign key to Location.LocationID. ;;;
1382;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1376;COLUMN;ProductID;;2;TABLE;;Product identification number. Foreign key to Product.ProductID.;;;
1380;COLUMN;Quantity;;2;TABLE;;Quantity of products in the inventory location.;;;
1381;COLUMN;rowguid;;2;TABLE;;ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.;;;
1378;COLUMN;Shelf;;2;TABLE;;Storage compartment within an inventory location.;;;
1385;COLUMN;EndDate;;2;TABLE;;List price end date;;;
1386;COLUMN;ListPrice;;2;TABLE;;Product list price.;;;
1387;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1383;COLUMN;ProductID;;2;TABLE;;Product identification number. Foreign key to Product.ProductID;;;
1384;COLUMN;StartDate;;2;TABLE;;List price start date.;;;
1390;COLUMN;CatalogDescription;;2;TABLE;;Detailed product catalog information in xml format.;;;
1391;COLUMN;Instructions;;2;TABLE;;Manufacturing instructions in xml format.;;;
1393;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1389;COLUMN;Name;;2;TABLE;;Product model description.;;;
1388;COLUMN;ProductModelID;;2;TABLE;;Primary key for ProductModel records.;;;
1392;COLUMN;rowguid;;2;TABLE;;ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.;;;
1395;COLUMN;IllustrationID;;2;TABLE;;Primary key. Foreign key to Illustration.IllustrationID.;;;
1396;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1394;COLUMN;ProductModelID;;2;TABLE;;Primary key. Foreign key to ProductModel.ProductModelID.;;;
1399;COLUMN;CultureID;;2;TABLE;;Culture identification number. Foreign key to Culture.CultureID.;;;
1400;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1398;COLUMN;ProductDescriptionID;;2;TABLE;;Primary key. Foreign key to ProductDescription.ProductDescriptionID.;;;
1397;COLUMN;ProductModelID;;2;TABLE;;Primary key. Foreign key to ProductModel.ProductModelID.;;;
1404;COLUMN;LargePhoto;;2;TABLE;;Large image of the product.;;;
1405;COLUMN;LargePhotoFileName;;2;TABLE;;Large image file name.;;;
1406;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1401;COLUMN;ProductPhotoID;;2;TABLE;;Primary key for ProductPhoto records.;;;
1402;COLUMN;ThumbNailPhoto;;2;TABLE;;Small image of the product.;;;
1403;COLUMN;ThumbnailPhotoFileName;;2;TABLE;;Small image file name.;;;
1410;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1409;COLUMN;Primary;;2;TABLE;;0 = Photo is not the principal image. 1 = Photo is the principal image.;;;
1407;COLUMN;ProductID;;2;TABLE;;Product identification number. Foreign key to Product.ProductID.;;;
1408;COLUMN;ProductPhotoID;;2;TABLE;;Product photo identification number. Foreign key to ProductPhoto.ProductPhotoID.;;;
1417;COLUMN;Comments;;2;TABLE;;Reviewer's comments;;;
1415;COLUMN;EmailAddress;;2;TABLE;;Reviewer's e-mail address.;;;
1418;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1412;COLUMN;ProductID;;2;TABLE;;Product identification number. Foreign key to Product.ProductID.;;;
1411;COLUMN;ProductReviewID;;2;TABLE;;Primary key for ProductReview records.;;;
1416;COLUMN;Rating;;2;TABLE;;Product rating given by the reviewer. Scale is 1 to 5 with 5 as the highest rating.;;;
1414;COLUMN;ReviewDate;;2;TABLE;;Date review was submitted.;;;
1413;COLUMN;ReviewerName;;2;TABLE;;Name of the reviewer.;;;
1423;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1421;COLUMN;Name;;2;TABLE;;Subcategory description.;;;
1420;COLUMN;ProductCategoryID;;2;TABLE;;Product category identification number. Foreign key to ProductCategory.ProductCategoryID.;;;
1419;COLUMN;ProductSubcategoryID;;2;TABLE;;Primary key for ProductSubcategory records.;;;
1422;COLUMN;rowguid;;2;TABLE;;ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.;;;
1426;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1425;COLUMN;Name;;2;TABLE;;Failure description.;;;
1424;COLUMN;ScrapReasonID;;2;TABLE;;Primary key for ScrapReason records.;;;
1434;COLUMN;ActualCost;;2;TABLE;;Product cost.;;;
1435;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1428;COLUMN;ProductID;;2;TABLE;;Product identification number. Foreign key to Product.ProductID.;;;
1433;COLUMN;Quantity;;2;TABLE;;Product quantity.;;;
1429;COLUMN;ReferenceOrderID;;2;TABLE;;Purchase order, sales order, or work order identification number.;;;
1430;COLUMN;ReferenceOrderLineID;;2;TABLE;;Line number associated with the purchase order, sales order, or work order.;;;
1431;COLUMN;TransactionDate;;2;TABLE;;Date and time of the transaction.;;;
1427;COLUMN;TransactionID;;2;TABLE;;Primary key for TransactionHistory records.;;;
1432;COLUMN;TransactionType;;2;TABLE;;W = WorkOrder, S = SalesOrder, P = PurchaseOrder;;;
1443;COLUMN;ActualCost;;2;TABLE;;Product cost.;;;
1444;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1437;COLUMN;ProductID;;2;TABLE;;Product identification number. Foreign key to Product.ProductID.;;;
1442;COLUMN;Quantity;;2;TABLE;;Product quantity.;;;
1438;COLUMN;ReferenceOrderID;;2;TABLE;;Purchase order, sales order, or work order identification number.;;;
1439;COLUMN;ReferenceOrderLineID;;2;TABLE;;Line number associated with the purchase order, sales order, or work order.;;;
1440;COLUMN;TransactionDate;;2;TABLE;;Date and time of the transaction.;;;
1436;COLUMN;TransactionID;;2;TABLE;;Primary key for TransactionHistoryArchive records.;;;
1441;COLUMN;TransactionType;;2;TABLE;;W = Work Order, S = Sales Order, P = Purchase Order;;;
1447;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1446;COLUMN;Name;;2;TABLE;;Unit of measure description.;;;
1445;COLUMN;UnitMeasureCode;;2;TABLE;;Primary key.;;;
1455;COLUMN;DueDate;;2;TABLE;;Work order due date.;;;
1454;COLUMN;EndDate;;2;TABLE;;Work order end date.;;;
1457;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1450;COLUMN;OrderQty;;2;TABLE;;Product quantity to build.;;;
1449;COLUMN;ProductID;;2;TABLE;;Product identification number. Foreign key to Product.ProductID.;;;
1452;COLUMN;ScrappedQty;;2;TABLE;;Quantity that failed inspection.;;;
1456;COLUMN;ScrapReasonID;;2;TABLE;;Reason for inspection failure.;;;
1453;COLUMN;StartDate;;2;TABLE;;Work order start date.;;;
1451;COLUMN;StockedQty;;2;TABLE;;Quantity built and put in inventory.;;;
1448;COLUMN;WorkOrderID;;2;TABLE;;Primary key for WorkOrder records.;;;
1468;COLUMN;ActualCost;;2;TABLE;;Actual manufacturing cost.;;;
1465;COLUMN;ActualEndDate;;2;TABLE;;Actual end date.;;;
1466;COLUMN;ActualResourceHrs;;2;TABLE;;Number of manufacturing hours used.;;;
1464;COLUMN;ActualStartDate;;2;TABLE;;Actual start date.;;;
1461;COLUMN;LocationID;;2;TABLE;;Manufacturing location where the part is processed. Foreign key to Location.LocationID.;;;
1469;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1460;COLUMN;OperationSequence;;2;TABLE;;Primary key. Indicates the manufacturing process sequence.;;;
1467;COLUMN;PlannedCost;;2;TABLE;;Estimated manufacturing cost.;;;
1459;COLUMN;ProductID;;2;TABLE;;Primary key. Foreign key to Product.ProductID.;;;
1463;COLUMN;ScheduledEndDate;;2;TABLE;;Planned manufacturing end date.;;;
1462;COLUMN;ScheduledStartDate;;2;TABLE;;Planned manufacturing start date.;;;
1458;COLUMN;WorkOrderID;;2;TABLE;;Primary key. Foreign key to WorkOrder.WorkOrderID.;;;
1472;COLUMN;AverageLeadTime;;2;TABLE;;The average span of time (in days) between placing an order with the vendor and receiving the purchased product.;;;
1471;COLUMN;BusinessEntityID;;2;TABLE;;Primary key. Foreign key to Vendor.BusinessEntityID.;;;
1474;COLUMN;LastReceiptCost;;2;TABLE;;The selling price when last purchased.;;;
1475;COLUMN;LastReceiptDate;;2;TABLE;;Date the product was last received by the vendor.;;;
1477;COLUMN;MaxOrderQty;;2;TABLE;;The minimum quantity that should be ordered.;;;
1476;COLUMN;MinOrderQty;;2;TABLE;;The maximum quantity that should be ordered.;;;
1480;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1478;COLUMN;OnOrderQty;;2;TABLE;;The quantity currently on order.;;;
1470;COLUMN;ProductID;;2;TABLE;;Primary key. Foreign key to Product.ProductID.;;;
1473;COLUMN;StandardPrice;;2;TABLE;;The vendor's usual selling price.;;;
1479;COLUMN;UnitMeasureCode;;2;TABLE;;The product's unit of measure.;;;
1483;COLUMN;DueDate;;2;TABLE;;Date the product is expected to be received.;;;
